app_id,v_val,i_val,p_val,pt_val,date
CFLOneYearWatt,119.099998,0.211,13,0.006347,1531200405
CFLOneYearWatt,119.900002,0.212,13,0.006347,1531200407
CFLOneYearWatt,119.300003,0.209,13,0.006347,1531200408
CFLOneYearWatt,118.699997,0.209,13,0.006347,1531200410
CFLOneYearWatt,119.699997,0.21,13,0.006347,1531200412
CFLOneYearWatt,118.800003,0.209,13,0.006347,1531200413
CFLOneYearWatt,119.699997,0.211,13,0.006347,1531200415
CFLOneYearWatt,118.800003,0.21,13,0.006347,1531200416
CFLOneYearWatt,118.300003,0.209,13,0.006347,1531200418
CFLOneYearWatt,119.599998,0.211,13,0.006347,1531200420
CFLOneYearWatt,118.699997,0.209,13,0.006347,1531200421
CFLOneYearWatt,118.5,0.209,13,0.006347,1531200423
CFLOneYearWatt,118.800003,0.21,13,0.006347,1531200425
CFLOneYearWatt,120.699997,0.211,13,0.006347,1531200426
CFLOneYearWatt,120.199997,0.209,13,0.006347,1531200428
CFLOneYearWatt,118.400002,0.208,13,0.006347,1531200430
CFLOneYearWatt,119.199997,0.21,13,0.006347,1531200431
CFLOneYearWatt,118.900002,0.209,13,0.006347,1531200433
CFLOneYearWatt,117.800003,0.207,13,0.006347,1531200435
CFLOneYearWatt,117.900002,0.21,13,0.006347,1531200436
CFLOneYearWatt,118,0.21,13,0.006347,1531200438
CFLOneYearWatt,118.599998,0.21,13,0.006347,1531200440
CFLOneYearWatt,119.300003,0.212,13,0.006347,1531200442
CFLOneYearWatt,119.199997,0.212,13,0.006347,1531200443
CFLOneYearWatt,118.699997,0.21,13,0.006347,1531200445
CFLOneYearWatt,118.099998,0.207,13,0.006347,1531200447
CFLOneYearWatt,118.5,0.208,13,0.006347,1531200448
CFLOneYearWatt,118.800003,0.21,13,0.006347,1531200450
CFLOneYearWatt,118.400002,0.209,13,0.006347,1531200452
CFLOneYearWatt,118.5,0.209,13,0.006347,1531200453
CFLOneYearWatt,119.199997,0.21,13,0.006347,1531200455
CFLOneYearWatt,118.800003,0.21,13,0.006347,1531200457
CFLOneYearWatt,118.5,0.209,13,0.006347,1531200458
CFLOneYearWatt,119,0.208,13,0.006347,1531200460
CFLOneYearWatt,119.099998,0.21,13,0.006347,1531200462
CFLOneYearWatt,118.599998,0.21,13,0.006347,1531200463
CFLOneYearWatt,118.099998,0.209,13,0.006347,1531200465
CFLOneYearWatt,118.5,0.209,13,0.006347,1531200467
CFLOneYearWatt,118.900002,0.209,13,0.006347,1531200468
CFLOneYearWatt,118.5,0.207,13,0.006347,1531200470
CFLOneYearWatt,118.5,0.208,13,0.006347,1531200471
CFLOneYearWatt,118.300003,0.207,13,0.006347,1531200473
CFLOneYearWatt,117.599998,0.208,13,0.006347,1531200475
CFLOneYearWatt,118.199997,0.209,13,0.006347,1531200476
CFLOneYearWatt,119,0.209,13,0.006347,1531200478
CFLOneYearWatt,118.699997,0.207,13,0.006347,1531200480
CFLOneYearWatt,118.5,0.209,13,0.006347,1531200481
CFLOneYearWatt,118,0.21,13,0.006347,1531200483
CFLOneYearWatt,118.800003,0.21,13,0.006347,1531200485
CFLOneYearWatt,118.199997,0.209,13,0.006347,1531200486
CFLOneYearWatt,117.699997,0.208,13,0.006347,1531200488
CFLOneYearWatt,118.5,0.21,13,0.006347,1531200490
CFLOneYearWatt,118.300003,0.208,13,0.006347,1531200491
CFLOneYearWatt,117.699997,0.208,13,0.006347,1531200493
CFLOneYearWatt,118.599998,0.209,13,0.006347,1531200495
CFLOneYearWatt,119.5,0.21,13,0.006347,1531200496
CFLOneYearWatt,119.199997,0.208,13,0.006347,1531200498
CFLOneYearWatt,118.599998,0.207,13,0.006347,1531200500
CFLOneYearWatt,117.5,0.206,13,0.006347,1531200501
CFLOneYearWatt,117.400002,0.206,13,0.006347,1531200503
CFLOneYearWatt,118.099998,0.207,13,0.006347,1531200505
CFLOneYearWatt,118.800003,0.208,13,0.006347,1531200506
CFLOneYearWatt,119.099998,0.21,13,0.006347,1531200508
CFLOneYearWatt,117.900002,0.208,13,0.006347,1531200510
CFLOneYearWatt,117.699997,0.207,13,0.006347,1531200511
CFLOneYearWatt,117.699997,0.206,13,0.006347,1531200513
CFLOneYearWatt,118.5,0.207,13,0.006347,1531200515
CFLOneYearWatt,117.900002,0.208,13,0.006347,1531200516
CFLOneYearWatt,118,0.209,13,0.006347,1531200518
CFLOneYearWatt,118.099998,0.207,13,0.006347,1531200520
CFLOneYearWatt,118.099998,0.207,13,0.006347,1531200521
CFLOneYearWatt,118.900002,0.209,13,0.006347,1531200523
CFLOneYearWatt,119.199997,0.21,13,0.006347,1531200525
CFLOneYearWatt,119.199997,0.21,13,0.006347,1531200526
CFLOneYearWatt,118.300003,0.209,13,0.006347,1531200528
CFLOneYearWatt,117.400002,0.207,13,0.006347,1531200530
CFLOneYearWatt,118,0.209,13,0.006347,1531200532
CFLOneYearWatt,118.400002,0.209,13,0.006347,1531200533
CFLOneYearWatt,117.900002,0.209,13,0.006347,1531200535
CFLOneYearWatt,118.699997,0.209,13,0.006347,1531200536
CFLOneYearWatt,118.699997,0.209,13,0.006347,1531200538
CFLOneYearWatt,119.099998,0.209,13,0.006347,1531200540
CFLOneYearWatt,118,0.207,13,0.006347,1531200541
CFLOneYearWatt,117.400002,0.206,13,0.006347,1531200543
CFLOneYearWatt,118.400002,0.207,13,0.006347,1531200545
CFLOneYearWatt,118.400002,0.207,13,0.006347,1531200546
CFLOneYearWatt,117.699997,0.206,13,0.006347,1531200548
CFLOneYearWatt,117.599998,0.207,13,0.006347,1531200550
CFLOneYearWatt,119,0.21,13,0.006347,1531200551
CFLOneYearWatt,118.900002,0.209,13,0.006347,1531200553
CFLOneYearWatt,118,0.207,13,0.006347,1531200555
