"id","app_id","v_val","i_val","p_val","pt_val","pf_val","date"
"1",NULL,"116.500000","2.977000","293.000000","0.005638","0.845000","1517899207"
"2",NULL,"117.500000","2.727000","293.000000","0.005638","0.916000","1517899209"
"3",NULL,"117.000000","2.704000","293.000000","0.005638","0.928000","1517899211"
"4",NULL,"116.199997","2.641000","292.000000","0.005638","0.957000","1517899212"
"5",NULL,"116.000000","2.543000","292.000000","0.005638","0.990000","1517899214"
"6",NULL,"117.500000","2.649000","293.000000","0.005638","0.941000","1517899216"
"7",NULL,"117.699997","2.716000","293.000000","0.005638","0.917000","1517899217"
"8",NULL,"116.000000","2.911000","293.000000","0.005625","1.605000","1517899221"
"9",NULL,"116.000000","2.853000","293.000000","0.005638","0.887000","1517899223"
"10",NULL,"116.000000","2.867000","292.000000","0.005638","0.882000","1517899224"
"11",NULL,"115.699997","2.985000","292.000000","0.005638","0.846000","1517899226"
"12",NULL,"116.400002","2.964000","293.000000","0.005638","0.850000","1517899228"
"13",NULL,"116.300003","2.966000","293.000000","0.005638","0.850000","1517899229"
"14",NULL,"115.900002","2.867000","293.000000","0.005638","0.885000","1517899231"
"15",NULL,"116.300003","2.874000","293.000000","0.005638","0.878000","1517899233"
"16",NULL,"116.500000","2.852000","293.000000","0.005638","0.883000","1517899234"
"17",NULL,"116.500000","2.924000","293.000000","0.005638","0.861000","1517899236"
"18",NULL,"117.699997","2.768000","293.000000","0.005638","0.900000","1517899238"
"19",NULL,"118.000000","2.699000","293.000000","0.005638","0.919000","1517899239"
"20",NULL,"117.099998","2.843000","292.000000","0.005638","0.880000","1517899241"
"21",NULL,"117.099998","2.840000","292.000000","0.005638","0.880000","1517899242"
"22",NULL,"116.800003","2.613000","292.000000","0.005638","0.956000","1517899244"
"23",NULL,"116.900002","2.838000","292.000000","0.005638","0.884000","1517899246"
"24",NULL,"116.900002","2.949000","293.000000","0.005638","0.849000","1517899247"
"25",NULL,"116.099998","2.838000","294.000000","0.005638","0.896000","1517899249"
"26",NULL,"116.599998","2.847000","293.000000","0.005638","0.885000","1517899251"
"27",NULL,"117.500000","2.758000","293.000000","0.005638","0.904000","1517899252"
"28",NULL,"117.599998","2.769000","293.000000","0.005638","0.903000","1517899254"
"29",NULL,"117.500000","2.804000","292.000000","0.005638","0.891000","1517899255"
"30",NULL,"117.000000","2.850000","292.000000","0.005638","0.878000","1517899257"
"31",NULL,"116.199997","2.891000","293.000000","0.005638","0.874000","1517899259"
"32",NULL,"116.699997","2.795000","293.000000","0.005638","0.901000","1517899260"
"33",NULL,"117.000000","2.669000","293.000000","0.005638","0.941000","1517899262"
"34",NULL,"116.800003","2.606000","293.000000","0.005638","0.965000","1517899264"
"35",NULL,"116.000000","2.708000","293.000000","0.005638","0.938000","1517899265"
"36",NULL,"115.699997","2.992000","294.000000","0.005638","0.850000","1517899267"
"37",NULL,"116.099998","2.933000","294.000000","0.005638","0.863000","1517899269"
"38",NULL,"116.900002","2.880000","294.000000","0.005638","0.873000","1517899270"
"39",NULL,"117.500000","2.700000","293.000000","0.005641","0.925000","1517899272"
"40",NULL,"117.900002","2.761000","294.000000","0.005641","0.904000","1517899274"
"41",NULL,"117.699997","2.723000","293.000000","0.005641","0.919000","1517899275"
"42",NULL,"117.400002","2.741000","293.000000","0.005641","0.912000","1517899277"
"43",NULL,"117.199997","2.739000","293.000000","0.005641","0.916000","1517899279"
"44",NULL,"116.500000","2.635000","293.000000","0.005641","0.958000","1517899280"
"45",NULL,"116.500000","2.620000","292.000000","0.005641","0.960000","1517899282"
"46",NULL,"116.900002","2.748000","293.000000","0.005641","0.916000","1517899284"
"47",NULL,"117.599998","2.822000","293.000000","0.005641","0.884000","1517899285"
"48",NULL,"117.800003","2.816000","293.000000","0.005641","0.884000","1517899287"
"49",NULL,"116.800003","3.000000","294.000000","0.005641","0.840000","1517899289"
"50",NULL,"116.300003","3.023000","295.000000","0.005641","0.839000","1517899290"
"51",NULL,"117.000000","2.853000","294.000000","0.005641","0.884000","1517899292"
"52",NULL,"117.599998","2.702000","294.000000","0.005641","0.927000","1517899293"
"53",NULL,"118.099998","2.678000","294.000000","0.005641","0.931000","1517899295"
"54",NULL,"118.500000","2.675000","294.000000","0.005641","0.926000","1517899297"
"55",NULL,"118.400002","2.635000","293.000000","0.005641","0.941000","1517899298"
"56",NULL,"117.699997","2.745000","294.000000","0.005641","0.913000","1517899300"
"57",NULL,"117.599998","2.629000","294.000000","0.005641","0.954000","1517899302"
"58",NULL,"117.300003","2.551000","294.000000","0.005641","0.983000","1517899303"
"59",NULL,"117.000000","2.800000","294.000000","0.005641","0.901000","1517899305"
"60",NULL,"117.900002","2.716000","294.000000","0.005641","0.920000","1517899307"
"61",NULL,"117.800003","2.622000","294.000000","0.005641","0.954000","1517899308"
"62",NULL,"117.300003","2.536000","294.000000","0.005641","0.987000","1517899310"
"63",NULL,"117.000000","2.528000","293.000000","0.005641","0.991000","1517899312"
"64",NULL,"116.699997","2.523000","293.000000","0.005641","0.996000","1517899313"
"65",NULL,"116.800003","2.573000","293.000000","0.005641","0.977000","1517899315"
"66",NULL,"116.599998","2.571000","293.000000","0.005641","0.979000","1517899316"
"67",NULL,"116.500000","2.543000","293.000000","0.005641","0.991000","1517899318"
"68",NULL,"116.900002","2.640000","293.000000","0.005641","0.953000","1517899320"
"69",NULL,"117.400002","2.672000","294.000000","0.005641","0.938000","1517899321"
"70",NULL,"117.199997","2.667000","294.000000","0.005641","0.941000","1517899323"
"71",NULL,"117.400002","2.684000","294.000000","0.005641","0.932000","1517899325"
"72",NULL,"117.800003","2.696000","294.000000","0.005641","0.925000","1517899326"
"73",NULL,"117.000000","2.638000","294.000000","0.005641","0.954000","1517899328"
"74",NULL,"117.599998","2.775000","294.000000","0.005641","0.902000","1517899330"
"75",NULL,"117.099998","2.844000","294.000000","0.005641","0.883000","1517899331"
"76",NULL,"116.800003","2.844000","294.000000","0.005641","0.886000","1517899333"
"77",NULL,"118.000000","2.694000","294.000000","0.005641","0.925000","1517899335"
"78",NULL,"117.300003","2.777000","294.000000","0.005641","0.904000","1517899336"
"79",NULL,"116.900002","2.835000","293.000000","0.005641","0.888000","1517899338"
"80",NULL,"116.699997","2.851000","293.000000","0.005641","0.886000","1517899339"
"81",NULL,"115.599998","2.710000","294.000000","0.005641","0.944000","1517899341"
"82",NULL,"116.199997","2.642000","294.000000","0.005641","0.960000","1517899343"
"83",NULL,"116.300003","2.782000","293.000000","0.005641","0.912000","1517899344"
"84",NULL,"117.300003","2.733000","294.000000","0.005641","0.920000","1517899346"
"85",NULL,"117.900002","2.587000","294.000000","0.005641","0.965000","1517899347"
"86",NULL,"118.500000","2.641000","294.000000","0.005641","0.939000","1517899349"
"87",NULL,"118.500000","2.693000","294.000000","0.005641","0.922000","1517899351"
"88",NULL,"118.400002","2.762000","294.000000","0.005641","0.902000","1517899352"
"89",NULL,"117.199997","2.832000","294.000000","0.005641","0.889000","1517899354"
