app_table_id,v_val,i_val,p_val,pf_val
BFS,115.099998,2.643,220,0.725
BFS,115.099998,2.637,219,0.723
BFS,115,2.638,219,0.723
BFS,113.900002,2.646,219,0.727
BFS,114.599998,2.677,219,0.714
BFS,115.199997,2.688,220,0.711
BFS,115.900002,2.678,220,0.709
BFS,115.300003,2.666,220,0.717
BFS,115,2.657,220,0.722
BFS,115,2.65,219,0.721
BFS,114.699997,2.665,220,0.722
BFS,116.5,2.685,221,0.707
BFS,116.599998,2.671,220,0.709
BFS,115.599998,2.642,220,0.721
BFS,114.699997,2.63,219,0.727
BFS,115.099998,2.671,220,0.715
BFS,115.800003,2.684,221,0.711
BFS,116.099998,2.681,220,0.709
BFS,116,2.673,220,0.711
BFS,114.699997,2.665,221,0.723
BFS,114.599998,2.683,221,0.719
BFS,115.300003,2.666,220,0.716
BFS,115.900002,2.678,221,0.712
BFS,115.699997,2.662,221,0.717
BFS,115.699997,2.656,220,0.717
BFS,115.400002,2.648,220,0.719
BFS,115.300003,2.648,220,0.723
BFS,114.300003,2.645,222,0.734
BFS,113.900002,2.656,221,0.73
BFS,113.800003,2.644,220,0.732
BFS,115,2.666,219,0.716
BFS,115,2.661,220,0.718
BFS,115.400002,2.663,220,0.715
BFS,115.199997,2.667,220,0.717
BFS,115,2.665,220,0.718
BFS,116.099998,2.675,220,0.709
BFS,115.699997,2.676,220,0.713
BFS,115.900002,2.671,220,0.711
BFS,115.699997,2.657,219,0.714
BFS,116.400002,2.684,220,0.704
BFS,116.300003,2.691,220,0.703
BFS,115.300003,2.676,220,0.713
BFS,115.800003,2.645,220,0.718
BFS,116.199997,2.646,219,0.714
BFS,117.199997,2.68,220,0.702
BFS,117.800003,2.705,221,0.694
BFS,117.599998,2.708,221,0.695
BFS,117.300003,2.687,222,0.703
BFS,116.099998,2.686,223,0.715
BFS,116.300003,2.693,223,0.712
BFS,116.800003,2.68,222,0.711
BFS,116.800003,2.669,222,0.713
BFS,116.800003,2.66,221,0.713
BFS,116.699997,2.657,221,0.713
BFS,117.300003,2.657,221,0.71
BFS,117.300003,2.662,222,0.711
BFS,117,2.676,222,0.71
BFS,117.099998,2.681,222,0.707
BFS,117,2.678,221,0.706
BFS,116.800003,2.666,221,0.711
BFS,117,2.672,221,0.706
BFS,116.5,2.685,221,0.706
BFS,116,2.69,222,0.71
BFS,116.199997,2.701,221,0.706
BFS,116.400002,2.683,221,0.708
BFS,116,2.679,221,0.711
BFS,114.900002,2.659,220,0.721
BFS,114.900002,2.643,220,0.726
BFS,115.199997,2.645,221,0.725
BFS,115.699997,2.646,221,0.721
BFS,115.800003,2.663,221,0.717
BFS,115.900002,2.682,220,0.708
BFS,115.599998,2.656,219,0.713
BFS,116.400002,2.655,220,0.712
BFS,117.099998,2.673,221,0.705
BFS,116.699997,2.688,220,0.701
BFS,115.400002,2.668,220,0.716
BFS,114.800003,2.657,221,0.724
BFS,114.900002,2.655,221,0.724
BFS,115.699997,2.635,221,0.726
BFS,115.800003,2.638,222,0.726
BFS,115.900002,2.65,221,0.72
BFS,115.199997,2.641,221,0.728
BFS,115.900002,2.643,221,0.723
BFS,115.800003,2.647,220,0.718
BFS,116.5,2.661,220,0.712
BFS,115.900002,2.66,221,0.718
BFS,116.099998,2.645,220,0.719
BFS,116.400002,2.644,220,0.715
BFS,115.400002,2.656,220,0.718
BFS,114.900002,2.654,220,0.722
BFS,114.900002,2.666,221,0.722
BFS,116.400002,2.7,223,0.71
BFS,117.400002,2.706,222,0.701
BFS,117.099998,2.677,222,0.708
BFS,115.5,2.679,223,0.72
BFS,115.5,2.698,223,0.716
BFS,117.199997,2.688,222,0.706
BFS,117.699997,2.679,222,0.704
BFS,116.5,2.657,222,0.718
BFS,115.300003,2.659,223,0.728
BFS,114.699997,2.654,222,0.731
BFS,116,2.652,222,0.723
BFS,116.300003,2.663,223,0.72
BFS,116.099998,2.67,223,0.719
BFS,116,2.664,222,0.718
BFS,116.099998,2.655,221,0.717
BFS,115.400002,2.658,219,0.716
BFS,115.199997,2.659,220,0.718
BFS,115.800003,2.659,222,0.72
BFS,115,2.654,223,0.732
BFS,115.099998,2.662,224,0.73
BFS,116.099998,2.656,222,0.72
BFS,115.900002,2.641,222,0.724
BFS,115.599998,2.639,221,0.725
BFS,116.400002,2.651,221,0.718
BFS,116.900002,2.662,221,0.711
BFS,117.199997,2.678,222,0.707
BFS,117,2.686,222,0.706
BFS,116.900002,2.7,221,0.701
BFS,116.800003,2.696,221,0.702
BFS,116.599998,2.682,221,0.707
BFS,115.800003,2.681,221,0.712
BFS,115.400002,2.68,221,0.716
